City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,151,Humaita,BR,2022-07-18 20:05:59,-7.5061,-63.0208,97.36,26,7,3.4
152,152,Cabedelo,BR,2022-07-18 20:06:00,-6.9811,-34.8339,75.87,85,43,17.83
153,153,Santa Ana,US,2022-07-18 20:05:46,33.7456,-117.8678,100.71,55,40,11.5
154,154,Hobyo,SO,2022-07-18 20:06:01,5.3505,48.5268,76.24,79,66,24.4
155,155,Aksarka,RU,2022-07-18 20:06:01,66.5606,67.7975,59.97,65,100,5.97
156,156,Wanning,CN,2022-07-18 20:06:02,18.8003,110.3967,82.04,91,100,9.1
157,157,Mareeba,AU,2022-07-18 20:06:02,-17.0,145.4333,59.43,91,4,2.21
158,158,Port Lincoln,AU,2022-07-18 20:06:03,-34.7333,135.8667,52.61,62,100,9.17
159,159,Barrow,US,2022-07-18 20:06:03,71.2906,-156.7887,42.82,81,100,4.61
160,160,Ayorou,NE,2022-07-18 20:06:04,14.7308,0.9174,88.23,52,66,18.41
161,161,Kailua,US,2022-07-18 20:06:04,21.4022,-157.7394,84.18,90,100,16.11
162,162,Kuusamo,FI,2022-07-18 20:06:05,65.9667,29.1833,57.24,72,40,3.44
163,163,Jamestown,US,2022-07-18 20:05:53,42.097,-79.2353,71.94,88,100,11.5
164,164,Portoferraio,IT,2022-07-18 20:06:06,42.8115,10.3146,88.16,67,0,6.02
165,165,Dikson,RU,2022-07-18 20:06:06,73.5069,80.5464,44.37,79,100,12.8
166,166,Bukama,CD,2022-07-18 20:06:07,-9.2,25.85,72.95,38,61,2.86
167,167,Coquimbo,CL,2022-07-18 20:06:07,-29.9533,-71.3436,60.53,72,0,11.5
168,168,Batagay,RU,2022-07-18 20:06:08,67.6333,134.6333,59.36,88,43,5.5
169,169,Springbok,ZA,2022-07-18 20:06:08,-29.6643,17.8865,51.55,65,19,2.66
170,170,Axim,GH,2022-07-18 20:06:09,4.8699,-2.2405,75.27,77,94,7.72
171,171,Peleduy,RU,2022-07-18 20:06:09,59.6289,112.7406,51.76,96,0,5.06
172,172,Lucapa,AO,2022-07-18 20:06:10,-8.4192,20.7447,71.49,31,5,4.14
173,173,Chunoyar,RU,2022-07-18 20:06:10,57.4467,97.3217,49.75,97,37,5.03
174,174,Amapa,BR,2022-07-18 20:06:11,1.0,-52.0,74.88,98,95,3.31
175,175,Ascension,US,2022-07-18 20:06:11,30.2169,-90.9001,91.99,71,0,0.0
176,176,Whitehorse,CA,2022-07-18 20:02:43,60.7161,-135.0538,60.1,57,100,5.01
177,177,Henties Bay,,2022-07-18 20:06:12,-22.116,14.2845,58.96,81,0,6.49
178,178,Aklavik,CA,2022-07-18 20:06:13,68.2191,-135.0107,67.23,63,100,11.72
179,179,College Station,US,2022-07-18 20:03:34,30.628,-96.3344,102.81,33,0,10.36
180,180,Boddam,GB,2022-07-18 20:06:14,57.4667,-1.7833,75.58,86,68,10.76
181,181,Spornoye,RU,2022-07-18 20:06:14,50.8448,37.2913,55.83,86,0,8.68
182,182,Rochegda,RU,2022-07-18 20:06:15,62.8,43.25,61.45,61,100,7.14
183,183,Kibre Mengist,ET,2022-07-18 20:06:15,5.8833,38.9833,58.06,87,100,1.39
184,184,Mariakani,KE,2022-07-18 20:06:16,-3.8633,39.4736,68.25,94,26,5.99
185,185,Praia,CV,2022-07-18 20:07:17,14.9215,-23.5087,77.54,78,100,19.57
186,186,East London,ZA,2022-07-18 20:06:23,-33.0153,27.9116,69.28,37,7,7.65
187,187,Iquique,CL,2022-07-18 20:03:58,-20.2208,-70.1431,59.04,71,33,8.59
188,188,Danville,US,2022-07-18 20:07:18,36.586,-79.395,95.02,53,40,12.66
